Forename	Surname	Email	Gender
Harry	Potter	harry.potter@hogwarts.com	m
Hermione	Granger	hermione.granger@hogwarts.com	f
Ron	Weasley	ron.weasley@hogwarts.com	m
Luna	Lovegood	luna.lovegood@hogwarts.com	f
Draco	Malfoy	draco.malfoy@hogwarts.com	m
Ginny	Weasley	ginny.weasley@hogwarts.com	f
Neville	Longbottom	neville.longbottom@hogwarts.com	m
Cho	Chang	cho.chang@hogwarts.com	f
Cedric	Diggory	cedric.diggory@hogwarts.com	m
Bellatrix	Lestrange	bellatrix.lestrange@hogwarts.com	f
Fred	Weasley	fred.weasley@hogwarts.com	m
George	Weasley	george.weasley@hogwarts.com	m
Tonks	Tonks	tonks.tonks@hogwarts.com	f
Sirius	Black	sirius.black@hogwarts.com	m
Remus	Lupin	remus.lupin@hogwarts.com	m
Molly	Weasley	molly.weasley@hogwarts.com	f
Arthur	Weasley	arthur.weasley@hogwarts.com	m
Hagrid	Hagrid	hagrid.hagrid@hogwarts.com	m
McGonagall	McGonagall	mcgonagall.mcgonagall@hogwarts.com	f
Dobby	Dobby	dobby.dobby@hogwarts.com	h
Kreacher	Kreacher	kreacher.kreacher@hogwarts.com	h
Fleur	Delacour	fleur.delacour@hogwarts.com	f
Viktor	Krum	viktor.krum@hogwarts.com	m
Cedric	Diggory	cedric.diggory@hogwarts.com	m
Cho	Chang	cho.chang@hogwarts.com	f
Luna	Lovegood	luna.lovegood@hogwarts.com	f
Ginny	Weasley	ginny.weasley@hogwarts.com	f
Neville	Longbottom	neville.longbottom@hogwarts.com	m
Seamus	Finnigan	seamus.finnigan@hogwarts.com	m
Dean	Thomas	dean.thomas@hogwarts.com	m
Lavender	Brown	lavender.brown@hogwarts.com	f
Parvati	Patil	parvati.patil@hogwarts.com	f
Padma	Patil	padma.patil@hogwarts.com	f
Oliver	Wood	oliver.wood@hogwarts.com	m
Angelina	Johnson	angelina.johnson@hogwarts.com	f
Alicia	Spinnet	alicia.spinnet@hogwarts.com	f
Katie	Bell	katie.bell@hogwarts.com	f
Colin	Creevey	colin.creevey@hogwarts.com	m
Dennis	Creevey	dennis.creevey@hogwarts.com	m
Hannah	Abbott	hannah.abbott@hogwarts.com	f
Ernie	Macmillan	ernie.macmillan@hogwarts.com	m
Susan	Bones	susan.bones@hogwarts.com	f
Cedric	Diggory	cedric.diggory@hogwarts.com	m
Cho	Chang	cho.chang@hogwarts.com	f
Luna	Lovegood	luna.lovegood@hogwarts.com	f
Ginny	Weasley	ginny.weasley@hogwarts.com	f
Neville	Longbottom	neville.longbottom@hogwarts.com	m
Seamus	Finnigan	seamus.finnigan@hogwarts.com	m
Dean	Thomas	dean.thomas@hogwarts.com	m
Lavender	Brown	lavender.brown@hogwarts.com	f
Parvati	Patil	parvati.patil@hogwarts.com	f
Padma	Patil	padma.patil@hogwarts.com	f
Oliver	Wood	oliver.wood@hogwarts.com	m
Angelina	Johnson	angelina.johnson@hogwarts.com	f
Alicia	Spinnet	alicia.spinnet@hogwarts.com	f
Katie	Bell	katie.bell@hogwarts.com	f
Colin	Creevey	colin.creevey@hogwarts.com	m
Dennis	Creevey	dennis.creevey@hogwarts.com	m
Hannah	Abbott	hannah.abbott@hogwarts.com	f
Ernie	Macmillan	ernie.macmillan@hogwarts.com	m
Susan	Bones	susan.bones@hogwarts.com	f
