Forename	Surname	Email
Harry	Potter	harry.potter@hogwarts.com
Hermione	Granger	hermione.granger@hogwarts.com
Ron	Weasley	ron.weasley@hogwarts.com
Luna	Lovegood	luna.lovegood@hogwarts.com
Draco	Malfoy	draco.malfoy@hogwarts.com
Ginny	Weasley	ginny.weasley@hogwarts.com
Neville	Longbottom	neville.longbottom@hogwarts.com
Cho	Chang	cho.chang@hogwarts.com
Cedric	Diggory	cedric.diggory@hogwarts.com
Bellatrix	Lestrange	bellatrix.lestrange@hogwarts.com
Fred	Weasley	fred.weasley@hogwarts.com
George	Weasley	george.weasley@hogwarts.com
Tonks	Tonks	tonks.tonks@hogwarts.com
Sirius	Black	sirius.black@hogwarts.com
Remus	Lupin	remus.lupin@hogwarts.com
Molly	Weasley	molly.weasley@hogwarts.com
Arthur	Weasley	arthur.weasley@hogwarts.com
Hagrid	Hagrid	hagrid.hagrid@hogwarts.com
McGonagall	McGonagall	mcgonagall.mcgonagall@hogwarts.com
Dobby	Dobby	dobby.dobby@hogwarts.com
Kreacher	Kreacher	kreacher.kreacher@hogwarts.com
Fleur	Delacour	fleur.delacour@hogwarts.com
Viktor	Krum	viktor.krum@hogwarts.com
Cedric	Diggory	cedric.diggory@hogwarts.com
Cho	Chang	cho.chang@hogwarts.com
Luna	Lovegood	luna.lovegood@hogwarts.com
Ginny	Weasley	ginny.weasley@hogwarts.com
Neville	Longbottom	neville.longbottom@hogwarts.com
Seamus	Finnigan	seamus.finnigan@hogwarts.com
Dean	Thomas	dean.thomas@hogwarts.com
Lavender	Brown	lavender.brown@hogwarts.com
Parvati	Patil	parvati.patil@hogwarts.com
Padma	Patil	padma.patil@hogwarts.com
Oliver	Wood	oliver.wood@hogwarts.com
Angelina	Johnson	angelina.johnson@hogwarts.com
Alicia	Spinnet	alicia.spinnet@hogwarts.com
Katie	Bell	katie.bell@hogwarts.com
Colin	Creevey	colin.creevey@hogwarts.com
Dennis	Creevey	dennis.creevey@hogwarts.com
Hannah	Abbott	hannah.abbott@hogwarts.com
Ernie	Macmillan	ernie.macmillan@hogwarts.com
Susan	Bones	susan.bones@hogwarts.com
Cedric	Diggory	cedric.diggory@hogwarts.com
Cho	Chang	cho.chang@hogwarts.com
Luna	Lovegood	luna.lovegood@hogwarts.com
Ginny	Weasley	ginny.weasley@hogwarts.com
Neville	Longbottom	neville.longbottom@hogwarts.com
Seamus	Finnigan	seamus.finnigan@hogwarts.com
Dean	Thomas	dean.thomas@hogwarts.com
Lavender	Brown	lavender.brown@hogwarts.com
Parvati	Patil	parvati.patil@hogwarts.com
Padma	Patil	padma.patil@hogwarts.com
Oliver	Wood	oliver.wood@hogwarts.com
Angelina	Johnson	angelina.johnson@hogwarts.com
Alicia	Spinnet	alicia.spinnet@hogwarts.com
Katie	Bell	katie.bell@hogwarts.com
Colin	Creevey	colin.creevey@hogwarts.com
Dennis	Creevey	dennis.creevey@hogwarts.com
Hannah	Abbott	hannah.abbott@hogwarts.com
Ernie	Macmillan	ernie.macmillan@hogwarts.com
Susan	Bones	susan.bones@hogwarts.com
